run_id,seed,executor,workload,block_size,num_accounts,threads,compute_cost,skew,elapsed_ns,throughput_tps,scheduling_ns,execution_ns,validation_ns,commit_ns,conflicts_detected,reexecutions,accepted_txs,rejected_txs,final_state_hash,correct_vs_sequential
1-private-state-optimistic-2-1000,43,optimistic,private-state,1000,10000,2,1000,1.1,3729959,268099.4616830909,0,2660395,79466,219499,0,999,833,167,15c801c82838a1333a946311de375e73a118607d0dc2a9a5e415e457ddcc7cae,true
2-no-conflict-sequential-2-1000,44,sequential,no-conflict,1000,10000,2,1000,1.1,2541834,393416.7219417161,0,1261709,0,244928,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
2-no-conflict-static-2-1000,44,static,no-conflict,1000,10000,2,1000,1.1,3049000,327976.38570022956,788000,1701222,0,255477,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
2-no-conflict-optimistic-2-1000,44,optimistic,no-conflict,1000,10000,2,1000,1.1,4031834,248026.08440724495,0,1782084,183709,724131,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
2-hotspot-sequential-2-1000,44,sequential,hotspot,1000,10000,2,1000,1.1,2230042,448422.0476565016,0,1253632,0,186550,0,0,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-hotspot-static-2-1000,44,static,hotspot,1000,10000,2,1000,1.1,110334709,9063.331104630004,435542,3731883,0,1243683,5997,0,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-hotspot-optimistic-2-1000,44,optimistic,hotspot,1000,10000,2,1000,1.1,3105917,321966.1053402264,0,2570170,81661,175745,0,999,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-zipfian-sequential-2-1000,44,sequential,zipfian,1000,10000,2,1000,1.1,2274375,439681.2311074471,0,1245253,0,190323,0,0,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-zipfian-static-2-1000,44,static,zipfian,1000,10000,2,1000,1.1,24337125,41089.48776817311,717292,2539168,0,772464,1338,0,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-zipfian-optimistic-2-1000,44,optimistic,zipfian,1000,10000,2,1000,1.1,3148084,317653.53148137085,0,2674350,99412,203442,0,870,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-token-transfer-sequential-2-1000,44,sequential,token-transfer,1000,10000,2,1000,1.1,2613084,382689.57293374423,0,1250985,0,237026,0,0,1000,0,4149360958f87b63ac3e460ba203cdfbe81f5951a83fbb26c472853c1e24ce10,true
2-token-transfer-static-2-1000,44,static,token-transfer,1000,10000,2,1000,1.1,3648250,274104.0224765298,819333,1555436,0,329878,42,0,1000,0,4149360958f87b63ac3e460ba203cdfbe81f5951a83fbb26c472853c1e24ce10,true
