Job started at Sat Jun 20 10:33:51 CST 2026
Host: dribe-00
SLURM_JOB_ID=578276
SLURM_CPUS_PER_TASK=36
Rust: rustc 1.96.0 (ac68faa20 2026-05-25)
Cargo: cargo 1.96.0 (30a34c682 2026-05-25)
Thread matrix: 1,2,4,8,16,32,36
static,token-transfer,1000,32,44,160889.91,correct=Some(true)
optimistic,token-transfer,1000,32,44,247982.29,correct=Some(true)
sequential,private-state,1000,32,44,319427.69,correct=Some(true)
static,private-state,1000,32,44,25285.96,correct=Some(true)
optimistic,private-state,1000,32,44,200932.57,correct=Some(true)
sequential,no-conflict,1000,36,42,294872.87,correct=Some(true)
static,no-conflict,1000,36,42,230572.85,correct=Some(true)
optimistic,no-conflict,1000,36,42,305740.27,correct=Some(true)
sequential,hotspot,1000,36,42,363876.65,correct=Some(true)
static,hotspot,1000,36,42,29100.97,correct=Some(true)
optimistic,hotspot,1000,36,42,201286.83,correct=Some(true)
sequential,zipfian,1000,36,42,333055.79,correct=Some(true)
static,zipfian,1000,36,42,40553.78,correct=Some(true)
optimistic,zipfian,1000,36,42,235581.08,correct=Some(true)
sequential,token-transfer,1000,36,42,300482.48,correct=Some(true)
static,token-transfer,1000,36,42,125719.33,correct=Some(true)
optimistic,token-transfer,1000,36,42,248569.42,correct=Some(true)
sequential,private-state,1000,36,42,325393.09,correct=Some(true)
static,private-state,1000,36,42,25088.49,correct=Some(true)
optimistic,private-state,1000,36,42,201941.59,correct=Some(true)
sequential,no-conflict,1000,36,43,297045.91,correct=Some(true)
static,no-conflict,1000,36,43,226814.92,correct=Some(true)
optimistic,no-conflict,1000,36,43,279143.10,correct=Some(true)
sequential,hotspot,1000,36,43,362183.55,correct=Some(true)
static,hotspot,1000,36,43,27744.26,correct=Some(true)
optimistic,hotspot,1000,36,43,233031.19,correct=Some(true)
sequential,zipfian,1000,36,43,331904.15,correct=Some(true)
static,zipfian,1000,36,43,39499.79,correct=Some(true)
optimistic,zipfian,1000,36,43,231232.53,correct=Some(true)
sequential,token-transfer,1000,36,43,305287.11,correct=Some(true)
static,token-transfer,1000,36,43,126315.13,correct=Some(true)
optimistic,token-transfer,1000,36,43,233905.38,correct=Some(true)
sequential,private-state,1000,36,43,325786.81,correct=Some(true)
static,private-state,1000,36,43,16008.04,correct=Some(true)
optimistic,private-state,1000,36,43,204708.29,correct=Some(true)
sequential,no-conflict,1000,36,44,295166.01,correct=Some(true)
static,no-conflict,1000,36,44,223292.09,correct=Some(true)
optimistic,no-conflict,1000,36,44,274667.47,correct=Some(true)
sequential,hotspot,1000,36,44,363133.79,correct=Some(true)
static,hotspot,1000,36,44,27399.46,correct=Some(true)
optimistic,hotspot,1000,36,44,209781.00,correct=Some(true)
sequential,zipfian,1000,36,44,330952.35,correct=Some(true)
static,zipfian,1000,36,44,43036.99,correct=Some(true)
optimistic,zipfian,1000,36,44,237254.34,correct=Some(true)
sequential,token-transfer,1000,36,44,297144.77,correct=Some(true)
static,token-transfer,1000,36,44,136345.18,correct=Some(true)
optimistic,token-transfer,1000,36,44,242080.05,correct=Some(true)
sequential,private-state,1000,36,44,309139.65,correct=Some(true)
static,private-state,1000,36,44,18130.89,correct=Some(true)
optimistic,private-state,1000,36,44,196489.60,correct=Some(true)
sequential,no-conflict,5000,1,42,342163.20,correct=Some(true)
static,no-conflict,5000,1,42,200189.59,correct=Some(true)
optimistic,no-conflict,5000,1,42,257585.25,correct=Some(true)
sequential,hotspot,5000,1,42,495271.20,correct=Some(true)
static,hotspot,5000,1,42,29337.40,correct=Some(true)
optimistic,hotspot,5000,1,42,232999.52,correct=Some(true)
sequential,zipfian,5000,1,42,500973.44,correct=Some(true)
static,zipfian,5000,1,42,71154.81,correct=Some(true)
optimistic,zipfian,5000,1,42,236848.56,correct=Some(true)
sequential,token-transfer,5000,1,42,432623.78,correct=Some(true)
static,token-transfer,5000,1,42,198815.05,correct=Some(true)
optimistic,token-transfer,5000,1,42,248089.32,correct=Some(true)
sequential,private-state,5000,1,42,440360.87,correct=Some(true)
static,private-state,5000,1,42,17373.56,correct=Some(true)
optimistic,private-state,5000,1,42,220056.82,correct=Some(true)
sequential,no-conflict,5000,1,43,402773.40,correct=Some(true)
static,no-conflict,5000,1,43,221502.05,correct=Some(true)
optimistic,no-conflict,5000,1,43,284179.23,correct=Some(true)
sequential,hotspot,5000,1,43,502425.86,correct=Some(true)
static,hotspot,5000,1,43,29396.53,correct=Some(true)
optimistic,hotspot,5000,1,43,237130.93,correct=Some(true)
sequential,zipfian,5000,1,43,500159.30,correct=Some(true)
static,zipfian,5000,1,43,69096.01,correct=Some(true)
optimistic,zipfian,5000,1,43,238586.33,correct=Some(true)
sequential,token-transfer,5000,1,43,429603.94,correct=Some(true)
static,token-transfer,5000,1,43,199400.45,correct=Some(true)
optimistic,token-transfer,5000,1,43,251032.51,correct=Some(true)
sequential,private-state,5000,1,43,439275.09,correct=Some(true)
static,private-state,5000,1,43,16430.12,correct=Some(true)
optimistic,private-state,5000,1,43,223404.69,correct=Some(true)
sequential,no-conflict,5000,1,44,389614.29,correct=Some(true)
static,no-conflict,5000,1,44,216626.68,correct=Some(true)
optimistic,no-conflict,5000,1,44,287464.65,correct=Some(true)
sequential,hotspot,5000,1,44,497655.25,correct=Some(true)
static,hotspot,5000,1,44,29027.48,correct=Some(true)
optimistic,hotspot,5000,1,44,237217.75,correct=Some(true)
sequential,zipfian,5000,1,44,496832.20,correct=Some(true)
static,zipfian,5000,1,44,69138.84,correct=Some(true)
optimistic,zipfian,5000,1,44,239180.88,correct=Some(true)
sequential,token-transfer,5000,1,44,427161.53,correct=Some(true)
static,token-transfer,5000,1,44,201443.29,correct=Some(true)
optimistic,token-transfer,5000,1,44,250861.34,correct=Some(true)
sequential,private-state,5000,1,44,426881.70,correct=Some(true)
static,private-state,5000,1,44,16198.69,correct=Some(true)
optimistic,private-state,5000,1,44,225278.98,correct=Some(true)
