run_id,seed,executor,workload,block_size,num_accounts,threads,compute_cost,skew,elapsed_ns,throughput_tps,scheduling_ns,execution_ns,validation_ns,commit_ns,conflicts_detected,reexecutions,accepted_txs,rejected_txs,final_state_hash,correct_vs_sequential
2-no-conflict-static-2-1000,44,static,no-conflict,1000,10000,2,1000,1.1,4088650,244579.50668313503,1091045,1558677,0,462984,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
2-no-conflict-optimistic-2-1000,44,optimistic,no-conflict,1000,10000,2,1000,1.1,3312925,301848.0647765947,0,1546125,127192,481924,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
2-hotspot-sequential-2-1000,44,sequential,hotspot,1000,10000,2,1000,1.1,2756038,362839.6995977559,0,1524300,0,277414,0,0,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-hotspot-static-2-1000,44,static,hotspot,1000,10000,2,1000,1.1,33202843,30117.902855487402,641618,2163706,0,582200,5997,0,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-hotspot-optimistic-2-1000,44,optimistic,hotspot,1000,10000,2,1000,1.1,3717995,268962.1691261016,0,2892505,133806,254114,0,999,1000,0,19956aa732e245a6e10dacfa3a123890a8083896a5357a325fefb2436ba3543d,true
2-zipfian-sequential-2-1000,44,sequential,zipfian,1000,10000,2,1000,1.1,2842089,351853.8652378585,0,1494597,0,294345,0,0,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-zipfian-static-2-1000,44,static,zipfian,1000,10000,2,1000,1.1,14847448,67351.64184444357,961181,2256165,0,514300,1338,0,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-zipfian-optimistic-2-1000,44,optimistic,zipfian,1000,10000,2,1000,1.1,3701225,270180.8185127897,0,2798245,134503,292321,0,870,1000,0,be1f285a31782df3118d164a914f06853e0a7458305bcfd64be9d800dd88b63a,true
2-token-transfer-sequential-2-1000,44,sequential,token-transfer,1000,10000,2,1000,1.1,3290312,303922.5459470105,0,1587440,0,375544,0,0,1000,0,4149360958f87b63ac3e460ba203cdfbe81f5951a83fbb26c472853c1e24ce10,true
2-token-transfer-static-2-1000,44,static,token-transfer,1000,10000,2,1000,1.1,5005444,199782.47683921744,1091110,1756688,0,537857,42,0,1000,0,4149360958f87b63ac3e460ba203cdfbe81f5951a83fbb26c472853c1e24ce10,true
2-token-transfer-optimistic-2-1000,44,optimistic,token-transfer,1000,10000,2,1000,1.1,3565145,280493.5002643651,0,1830088,131669,482584,0,162,1000,0,4149360958f87b63ac3e460ba203cdfbe81f5951a83fbb26c472853c1e24ce10,true
2-private-state-sequential-2-1000,44,sequential,private-state,1000,10000,2,1000,1.1,3035785,329404.09152822086,0,1482534,0,319262,0,0,860,140,e2c668e2fae8d5d013252154455317f5bd16c150b118ff19b4c1f2dcb0482646,true
2-private-state-static-2-1000,44,static,private-state,1000,10000,2,1000,1.1,38651247,25872.38647177412,762312,2133551,0,609231,2997,0,860,140,e2c668e2fae8d5d013252154455317f5bd16c150b118ff19b4c1f2dcb0482646,true
2-private-state-optimistic-2-1000,44,optimistic,private-state,1000,10000,2,1000,1.1,4683770,213503.2249662131,0,3006657,173061,432348,0,999,860,140,e2c668e2fae8d5d013252154455317f5bd16c150b118ff19b4c1f2dcb0482646,true
0-no-conflict-sequential-4-1000,42,sequential,no-conflict,1000,10000,4,1000,1.1,3266306,306156.25112895115,0,1587006,0,370129,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-no-conflict-static-4-1000,42,static,no-conflict,1000,10000,4,1000,1.1,3942311,253658.3237598454,1077823,1692269,0,522593,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-no-conflict-optimistic-4-1000,42,optimistic,no-conflict,1000,10000,4,1000,1.1,2962781,337520.7279917078,0,1594590,125910,487379,0,0,1000,0,72a85deaa7400a330ddc98c75d93d1bff21a27b64d8f4c22442b601d9d11cfe0,true
0-hotspot-sequential-4-1000,42,sequential,hotspot,1000,10000,4,1000,1.1,2749164,363746.9427069465,0,1508154,0,265947,0,0,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-hotspot-static-4-1000,42,static,hotspot,1000,10000,4,1000,1.1,35209757,28401.21844635281,635297,2362218,0,603090,5994,0,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-hotspot-optimistic-4-1000,42,optimistic,hotspot,1000,10000,4,1000,1.1,3711377,269441.77322864265,0,2986221,144661,299629,0,999,1000,0,fe6aaced548ad54177e227a11b5cd72356b5a582bbabda1e936fef246ee999f6,true
0-zipfian-sequential-4-1000,42,sequential,zipfian,1000,10000,4,1000,1.1,2883439,346808.09963380534,0,1485094,0,280690,0,0,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
0-zipfian-static-4-1000,42,static,zipfian,1000,10000,4,1000,1.1,13589814,73584.52440923768,959158,2443344,0,500358,1269,0,1000,0,c3e8ee121049859902fb9efc902b1f1f9ff3b1519dc3f50144655d369eb38267,true
